,importance
kinase,0.04404957409296753
activating,0.035331653424898087
suppressor,0.029699861453118766
missense mutations,0.02618020703689957
activated,0.023670321484650085
pten,0.020455034923742427
assays,0.016355030153410086
brca,0.015890074018807696
loss,0.015018207598216376
kinase domain,0.013056032229152182
oncogenic,0.011860224307201723
interaction,0.011428836781163767
cells,0.011305853243406185
brca1,0.010733430731999326
results,0.009680564930085827
function,0.00908813793366428
fusion,0.008838683267190126
dna,0.00847755550307542
erk,0.008372445926323106
therapy,0.0075353797254135565
phosphorylation,0.007006473714980226
tyrosine,0.006801621717169511
activation,0.006704422344112382
tyrosine kinase,0.006528859654715835
surface,0.006387634701488196
patient,0.006315578644321888
deletion,0.00630275703037956
nrf2,0.006276511056583983
shown,0.0061445847722800834
stability,0.006106242442684518
p53,0.00601363078012639
found,0.005923169773533386
co,0.005914702517898999
variants,0.00567651486647939
protein,0.00557769668474247
mutants,0.005284751006365354
lines,0.00518556078286949
values,0.0050808729977277955
molecular,0.004676132101980935
treatment,0.004653479114675146
downstream,0.004647258795473739
functional,0.004557013024837715
buffer,0.0043790998475702145
response,0.004276449405157638
sequencing,0.004275034845945316
resistance,0.004271456440714077
mutant,0.00421943350928727
codon,0.004213122709668621
although,0.0042127244651590234
site,0.004208480255181084
sequence,0.004089720616024248
mutations,0.003918435356836199
affected,0.0038993829178024433
tumors,0.0038901765533615462
region,0.003884143016647033
mek,0.0038693095594118415
patients,0.003770498625206906
sensitivity,0.0037175941615877573
germline,0.0037043364073929886
mm,0.0036967205314829125
containing,0.0036910547934547876
show,0.0036256067234041404
signaling,0.0036254320195957357
assay,0.0035018784002443103
several,0.0033374465513038546
new,0.003254444675152485
treated,0.003209301304045841
effect,0.003163239076476528
resistant,0.002955080137556222
inhibitors,0.0029512682663117625
exons,0.0029476225171496395
indicated,0.0029428706607023823
amplification,0.002931931910346388
data,0.0028837176280179055
expression,0.002876771400219829
length,0.002843329281611004
inhibitor,0.0028393023100959833
yeast,0.0027946071649514047
raf,0.0027740022604316812
smad4,0.0027507734409627418
transfected,0.002719706494058581
information,0.0026706954683841707
pik3ca,0.002653505080052661
ba,0.002641491125530851
one,0.00263434189380711
terminal,0.002618436764688441
months,0.0026043545467200257
phosphorylated,0.002598685283472275
inhibition,0.0025171575591099757
genes,0.00249737093430734
within,0.0024670934626813334
activity,0.0024613039301624447
domains,0.002459708490531276
mutation,0.00244243670388324
imatinib,0.0024091329476403607
single,0.002396798739246174
study,0.0023848859343595145
braf,0.002378398531972717
ii,0.002374668934588412
structural,0.002359024223482853
overexpression,0.0023080734657212757
interactions,0.0023072642562564907
binding,0.002306183725777998
10,0.0022553469633339873
carcinoma,0.0022342703235477316
classification,0.002223103633575528
determine,0.002210283110939661
figure,0.002172805816424465
number,0.0021646659300770554
significantly,0.0021586821268110516
progression,0.0021476460049078667
lung,0.0020762515668067767
active,0.002070918327392064
ba f3,0.0020670409757405856
kit,0.0020412831577852186
observed,0.002032229986153243
tissue,0.002010406369384637
type,0.0020092689222857567
rate,0.0019876255009601985
regulation,0.001956102203548249
low,0.0019533843422986316
kinases,0.0019505438967861188
exon,0.0019330694118584412
cell,0.0019296497195338451
therefore,0.001925033125303164
cyclin,0.0019189119147163237
however,0.0019122346597363195
mutated,0.0019002264579259347
somatic,0.001886403484540392
14,0.0018693748594983159
two,0.0018683946887087955
important,0.001868200318392479
missense,0.0018673442349520922
therapeutic,0.0018656566511756102
formation,0.0018538258111330099
families,0.001839892792143949
gene,0.0018293264563574254
deleterious,0.001812196350225167
vus,0.0018029326120754716
described,0.001795589646526933
individual,0.0017923123933359978
also,0.0017842442298403247
multiple,0.0017835497402243245
mediated,0.001783141131843756
control,0.0017814362403199633
kras,0.0017731231445553834
clinical,0.0017721899540079921
aml,0.001756984947729261
may,0.0017503417910084214
model,0.0017499160736493937
studies,0.001715795930412108
increased,0.0017149655425740915
small,0.0016976782641441636
suggest,0.0016834182171400348
common,0.001661750999866001
pdgfra,0.0016586888546569261
fig,0.0016471558176063396
complex,0.0016455820136454214
nuclear,0.0016441125650572212
repair,0.0016118032222156515
western,0.001601624325045511
cellular,0.0015974980599521395
wt,0.0015915807405973979
panel,0.0015899908603000067
using,0.0015817854717045108
controls,0.0015683584121699663
