,Unigram,Bigram,Unigram & Bigram
5,0.44849445324881143,0.4928684627575277,0.44849445324881143
10,0.5055467511885895,0.5309033280507132,0.4960380348652932
25,0.6022187004754358,0.595879556259905,0.595879556259905
50,0.618066561014263,0.6133122028526149,0.6228209191759112
100,0.6354992076069731,0.6259904912836767,0.6212361331220285
250,0.6450079239302694,0.6291600633914421,0.6434231378763867
500,0.6402535657686212,0.6228209191759112,0.659270998415214
750,0.6339144215530903,0.6354992076069731,0.6481774960380349
1000,0.6402535657686212,0.6259904912836767,0.6434231378763867
1500,0.652931854199683,0.6434231378763867,0.6450079239302694
2000,0.659270998415214,0.6339144215530903,0.6339144215530903
